,model,dataset,accuracy,precision,recall,F1 score,N,chunk_size
0,SVM,train,0.6484652328252245,0.6418801016842455,0.6484652328252245,0.6231224147048924,1,10
1,SVM,test,0.647974246686581,0.6415061750215387,0.647974246686581,0.6226770639137885,1,10
0,kNN,train,0.7914143523352126,0.7881080214532764,0.7914143523352126,0.7875458694269993,1,10
1,kNN,test,0.7054145761433833,0.6977684498750792,0.7054145761433833,0.6990523824557353,1,10
0,decision tree,train,0.9556390802997611,0.9559399526220268,0.9556390802997611,0.9554307369137424,1,10
1,decision tree,test,0.6634320350337867,0.6617628584522488,0.6634320350337867,0.6625098487816946,1,10
0,SVM,train,0.7983805480151273,0.7952953842388815,0.7983805480151273,0.7922405392614429,1,20
1,SVM,test,0.7973156386668677,0.7941620301746944,0.7973156386668677,0.7909212761119022,1,20
0,kNN,train,0.8579615322150298,0.8560800849656738,0.8579615322150298,0.8554867188453575,1,20
1,kNN,test,0.793046645708386,0.7884925049765493,0.793046645708386,0.7878740068777436,1,20
0,decision tree,train,0.9999535973643303,0.9999536015413518,0.9999535973643303,0.9999535970193617,1,20
1,decision tree,test,0.7228170713316242,0.7235626207312984,0.7228170713316242,0.7231687419832239,1,20
0,SVM,train,0.9373278037179896,0.9370949224802925,0.9373278037179896,0.9369531680627183,1,50
1,SVM,test,0.9387488761926859,0.9384372251266718,0.9387488761926859,0.9383736961426352,1,50
0,kNN,train,0.9410689945187205,0.94104645728957,0.9410689945187205,0.9407402773491115,1,50
1,kNN,test,0.9169107624488849,0.9166306778775349,0.9169107624488849,0.9163140830302149,1,50
0,decision tree,train,1.0,1.0,1.0,1.0,1,50
1,decision tree,test,0.8660131666715003,0.8661218723092844,0.8660131666715003,0.8660467318002079,1,50
